date;temperature mini;temperature maxi;precipitation;nbCovoit
01/12/19;5;7;37.3;
02/12/19;2;5;0.2;
03/12/19;-1;5;0;
04/12/19;0;8;0;
05/12/19;3;9;0;
06/12/19;5;9;0;
07/12/19;5;9;0;
08/12/19;5;11;1.6;
09/12/19;6;9;7.8;
10/12/19;3;6;0.7;
11/12/19;2;6;10.4;
12/12/19;1;6;3.3;
13/12/19;4;8;18.1;
14/12/19;7;9;11.6;
15/12/19;8;13;0.1;
16/12/19;10;14;0;
17/12/19;12;15;0;
18/12/19;11;15;1.5;
19/12/19;8;15;0;
20/12/19;8;13;25.1;
21/12/19;7;12;13;
22/12/19;8;11;10.4;
23/12/19;6;9;5.5;
24/12/19;6;10;9;
25/12/19;7;10;0.3;
26/12/19;3;9;0;
27/12/19;7;9;9.6;
28/12/19;4;7;0;
29/12/19;3;6;0;
30/12/19;2;8;0;
31/12/19;5;11;0;
